,level_0,index,up_count,down_count,total_count,polar_score,polarity
204,1284,하락/NNG;어렵/VA,13.0,18.0,31.0,0.6719647978612846,Dovish
205,1286,디플레이션/NNG;압력/NNG,13.0,25.0,38.0,0.48381465446012495,Dovish
206,1288,브렉시트/NNG;불확실성/NNG,13.0,36.0,49.0,0.3359823989306423,Dovish
207,1293,휘발유/NNG;가격/NNG;상승/NNG,13.0,19.0,32.0,0.636598229552796,Dovish
208,1305,수익/NNG;개선/NNG,13.0,18.0,31.0,0.6719647978612846,Dovish
209,1316,물가/NNG;상승/NNG;압력/NNG;낮/VA,13.0,22.0,35.0,0.5497893800683238,Dovish
210,1317,실적/NNG;감소/NNG,13.0,19.0,32.0,0.636598229552796,Dovish
211,1323,판매/NNG;감소/NNG,13.0,17.0,30.0,0.7114921389119485,Dovish
212,1329,부동산/NNG;회복/NNG,13.0,29.0,42.0,0.4170815986725215,Dovish
213,1338,여력/NNG;제한적/VAX,13.0,16.0,29.0,0.7559603975939452,Dovish
214,1344,회복/NNG;미약/NNG,13.0,25.0,38.0,0.48381465446012495,Dovish
215,1348,성장/NNG;우려/NNG,13.0,22.0,35.0,0.5497893800683238,Dovish
216,1349,소폭/MAG;상승/NNG;채권/NNG;가격/NNG;하락/NNG,13.0,20.0,33.0,0.6047683180751562,Dovish
217,1350,수익성/NNG;좋/VA,13.0,18.0,31.0,0.6719647978612846,Dovish
218,1352,유동성/NNG;넘/VV,13.0,16.0,29.0,0.7559603975939452,Dovish
219,1363,경제/NNG;성장률/NNG;낮/VA,13.0,25.0,38.0,0.48381465446012495,Dovish
220,1366,인하/NNG;추세/NNG,13.0,17.0,30.0,0.7114921389119485,Dovish
221,1368,인하/NNG;가능성/NNG;높/VV,13.0,16.0,29.0,0.7559603975939452,Dovish
222,1371,글로벌/NNG;성장/NNG;둔화/NNG,13.0,24.0,37.0,0.5039735983959635,Dovish
223,1381,글로벌/NNG;경제/NNG;둔화/NNG,13.0,18.0,31.0,0.6719647978612846,Dovish
224,1382,식료품/NNG;가격/NNG;상승/NNG,12.0,24.0,36.0,0.46520639851935086,Dovish
225,1395,이탈/NNG;가속/NNG,12.0,15.0,27.0,0.7443302376309615,Dovish
226,1400,인플레이션/NNG;압력/NNG;낮/VA,12.0,16.0,28.0,0.6978095977790263,Dovish
227,1404,주택담보대출/NNG;최저/NNG,12.0,18.0,30.0,0.6202751980258011,Dovish
228,1408,경제/NNG;성장률/NNG;부진/NNG,12.0,17.0,29.0,0.6567619743802601,Dovish
229,1409,수익성/NNG;높/VA,12.0,22.0,34.0,0.5074978892938373,Dovish
230,1414,일드커브/NNG;스티프닝/NNG,12.0,25.0,37.0,0.4465981425785769,Dovish
231,1424,수익/NNG;확대/NNG,12.0,16.0,28.0,0.6978095977790263,Dovish
