,level_0,index,up_count,down_count,total_count,polar_score,polarity
220,700,서브프라임/NNG;비우량/NNG;주택담보대출/NNG;부실/NNG,23.0,12.0,35.0,1.7832911943241785,Hawkish
221,702,fed/NNG;경제/NNG;성장/NNG,23.0,7.0,30.0,3.0570706188414487,Hawkish
222,703,irs/NNG;하락/NNG,23.0,16.0,39.0,1.337468395743134,Hawkish
223,707,달러엔/NNG;하락/NNG,22.0,14.0,36.0,1.4620772524893886,Hawkish
224,709,수출/NNG;증대/NNG,22.0,10.0,32.0,2.046908153485144,Hawkish
225,712,유동성/NNG;감소/NNG,22.0,15.0,37.0,1.3646054356567627,Hawkish
226,714,외환보유액/NNG;증가/NNG,22.0,13.0,35.0,1.5745447334501108,Hawkish
227,715,부동산/NNG;잡/VV,22.0,15.0,37.0,1.3646054356567627,Hawkish
228,716,가격/NNG;불안/NNG,22.0,14.0,36.0,1.4620772524893886,Hawkish
229,720,우려/NNG;높/VV,22.0,15.0,37.0,1.3646054356567627,Hawkish
230,735,인상/NNG,22.0,10.0,32.0,2.046908153485144,Hawkish
231,737,부진/NNG;인상/NNG,22.0,13.0,35.0,1.5745447334501108,Hawkish
232,738,성장/NNG;경로/NNG;불확실성/NNG,22.0,7.0,29.0,2.924154504978777,Hawkish
233,741,유가/NNG;강세/NNG,22.0,15.0,37.0,1.3646054356567627,Hawkish
234,742,물가/NNG;위험/NNG,22.0,10.0,32.0,2.046908153485144,Hawkish
235,744,소폭/MAG;하락/NNG;채권/NNG;가격/NNG;상승/NNG,22.0,14.0,36.0,1.4620772524893886,Hawkish
236,747,침체/NNG;벗어나/VV,21.0,6.0,27.0,3.2564447896354562,Hawkish
237,748,땅값/NNG;상승/NNG,21.0,2.0,23.0,9.76933436890637,Hawkish
238,754,신용/NNG;대출/NNG;늘/VV,21.0,7.0,28.0,2.791238391116105,Hawkish
239,758,물가/NNG;불안/NNG;우려/NNG,21.0,12.0,33.0,1.6282223948177281,Hawkish
240,759,양적완화/NNG;정책/NNG;종료/NNG,21.0,9.0,30.0,2.170963193090304,Hawkish
241,762,은행/NNG;성장/NNG,21.0,11.0,32.0,1.7762426125284305,Hawkish
242,763,실적/NNG;오르/VV,21.0,13.0,34.0,1.5029745182932874,Hawkish
243,764,매출/NNG;부진/NNG,21.0,15.0,36.0,1.3025779158541826,Hawkish
244,765,경제/NNG;견조/NNG;성장/NNG,21.0,13.0,34.0,1.5029745182932874,Hawkish
245,770,인플레이션/NNG;경계/NNG,21.0,9.0,30.0,2.170963193090304,Hawkish
246,774,인플레이션/NNG;우려/NNG;높/VA,21.0,13.0,34.0,1.5029745182932874,Hawkish
247,777,인플레이션/NNG;확산/NNG,21.0,8.0,29.0,2.4423335922265923,Hawkish
248,780,주택시장/NNG;냉각/NNG,21.0,6.0,27.0,3.2564447896354562,Hawkish
249,784,위험/NNG;높/VV,21.0,14.0,35.0,1.3956191955580526,Hawkish
250,786,회복/NNG;긍정적/VAX,20.0,14.0,34.0,1.3291611386267168,Hawkish
251,794,국고채/NNG;입찰/NNG;호조/NNG,20.0,13.0,33.0,1.4314043031364643,Hawkish
252,796,부동산/NNG;가격/NNG;오르/VV,20.0,13.0,33.0,1.4314043031364643,Hawkish
253,797,실업/NNG;증가/NNG,20.0,7.0,27.0,2.6583222772534336,Hawkish
254,798,부동산/NNG;냉각/NNG,20.0,10.0,30.0,1.8608255940774034,Hawkish
255,799,국고채/NNG;뛰/VV,20.0,12.0,32.0,1.550687995064503,Hawkish
256,800,예상/NNG;약하/VA,20.0,13.0,33.0,1.4314043031364643,Hawkish
257,802,주택시장/NNG;바닥/NNG,20.0,12.0,32.0,1.550687995064503,Hawkish
258,804,채권/NNG;가격/NNG;급등/NNG,20.0,14.0,34.0,1.3291611386267168,Hawkish
259,806,예상/NNG;감소/NNG,20.0,13.0,33.0,1.4314043031364643,Hawkish
260,811,인상/NNG;작/VA,20.0,9.0,29.0,2.067583993419337,Hawkish
261,813,미/NNG;국채/NNG;수익률/NNG;하락/NNG,20.0,7.0,27.0,2.6583222772534336,Hawkish
262,814,최대/NNG;인상/NNG,20.0,14.0,34.0,1.3291611386267168,Hawkish
263,816,대출/NNG;축소/NNG,20.0,9.0,29.0,2.067583993419337,Hawkish
264,817,인상/NNG;억제/NNG,20.0,12.0,32.0,1.550687995064503,Hawkish
265,818,물가/NNG;고공행진/NNG,20.0,8.0,28.0,2.326031992596754,Hawkish
266,819,소비/NNG;살/VV,20.0,14.0,34.0,1.3291611386267168,Hawkish
267,828,채권/NNG;높/VA,19.0,9.0,28.0,1.9642047937483704,Hawkish
268,829,원화/NNG;환율/NNG;내리/VV,19.0,11.0,30.0,1.607076649430485,Hawkish
269,832,인상/NNG;가능성/NNG;약화/NNG,19.0,10.0,29.0,1.7677843143735334,Hawkish
270,834,하락/NNG;인상/NNG,19.0,12.0,31.0,1.473153595311278,Hawkish
271,838,대출/NNG;인상/NNG,19.0,5.0,24.0,3.535568628747067,Hawkish
272,842,인상/NNG;하락/NNG,19.0,10.0,29.0,1.7677843143735334,Hawkish
273,844,미래/NNG;불확실성/NNG,19.0,9.0,28.0,1.9642047937483704,Hawkish
274,845,경제/NNG;성장률/NNG;상승/NNG,19.0,9.0,28.0,1.9642047937483704,Hawkish
275,847,주택담보대출/NNG;부담/NNG,19.0,13.0,32.0,1.3598340879796411,Hawkish
276,851,공급/NNG;차질/NNG,19.0,11.0,30.0,1.607076649430485,Hawkish
277,852,공급/NNG;충격/NNG,19.0,13.0,32.0,1.3598340879796411,Hawkish
278,857,주택시장/NNG;둔화/NNG,19.0,9.0,28.0,1.9642047937483704,Hawkish
279,861,과도/NNG;인상/NNG,19.0,13.0,32.0,1.3598340879796411,Hawkish
280,863,수익/NNG;낮/VA,19.0,7.0,26.0,2.525406163390762,Hawkish
281,868,주택/NNG;부진/NNG,19.0,10.0,29.0,1.7677843143735334,Hawkish
282,869,높/VA;인플레이션/NNG;압력/NNG,19.0,5.0,24.0,3.535568628747067,Hawkish
283,870,fed/NNG;성장/NNG,19.0,13.0,32.0,1.3598340879796411,Hawkish
284,874,인상/NNG;낮/VV,18.0,3.0,21.0,5.58247678223221,Hawkish
285,875,산업/NNG;경쟁력/NNG;강화/NNG,18.0,10.0,28.0,1.6747430346696632,Hawkish
286,878,강하/VA;인상/NNG,18.0,7.0,25.0,2.39249004952809,Hawkish
287,879,변동성/NNG;완화/NNG,18.0,12.0,30.0,1.3956191955580526,Hawkish
288,881,부진/NNG;강세/NNG,18.0,12.0,30.0,1.3956191955580526,Hawkish
289,882,인상/NNG;가능성/NNG;강하/VA,18.0,11.0,29.0,1.522493667881512,Hawkish
290,885,인하/NNG;최저/NNG,18.0,12.0,30.0,1.3956191955580526,Hawkish
291,887,호조/NNG;인상/NNG,18.0,10.0,28.0,1.6747430346696632,Hawkish
292,890,부채/NNG;위험/NNG,18.0,11.0,29.0,1.522493667881512,Hawkish
293,891,인상/NNG;가능성/NNG;작/VA,18.0,11.0,29.0,1.522493667881512,Hawkish
294,892,하락/NNG;가격/NNG;상승/NNG,18.0,8.0,26.0,2.093428793337079,Hawkish
