계약년월,계약일,시군구,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),거래금액(만원),층,건축년도,해제사유발생일
202011,26,세종특별자치시 조치원읍 신흥리,106,0,주공연립,57.51,113.04,"22,000",3,1984,
202011,27,세종특별자치시 조치원읍 신흥리,24,3,신흥연립,70.42,39.26,"7,000",2,1982,
202011,28,세종특별자치시 금남면 도남리,95,0,금강의휴양림마을(프로방스빌),54.342,41.32,"17,000",4,2015,
202011,28,세종특별자치시 보람동,743,0,스타힐타워Ⅰ,21.6349,6.44,"8,400",8,2016,
202012,2,세종특별자치시 반곡동,4121,1004,더스테이빌딩,15.3613,5.07,"6,600",6,2018,
202012,3,세종특별자치시 조치원읍 신흥리,106,0,주공연립,67.9,133.43,"25,800",1,1984,
202012,4,세종특별자치시 연서면 월하리,618,1,삼풍,54.09,35.13,"7,000",4,1991,
202012,4,세종특별자치시 조치원읍 신흥리,106,0,주공연립,55.35,108.78,"23,500",1,1984,
202012,5,세종특별자치시 조치원읍 신흥리,106,0,주공연립,57.51,113.04,"24,000",3,1984,
202012,5,세종특별자치시 조치원읍 신흥리,106,0,주공연립,55.35,108.78,"24,500",3,1984,
202012,7,세종특별자치시 보람동,744,0,스타힐타워Ⅱ,21.6349,6.44,"8,500",8,2016,
202012,7,세종특별자치시 조치원읍 신흥리,106,0,주공연립,67.9,133.43,"26,000",1,1984,
202012,8,세종특별자치시 부강면 부강리,962,5,주연B동,63.47,43.75,"6,800",1,1991,
202012,8,세종특별자치시 조치원읍 교리,3,0,제일,51.21,54.6,"6,000",3,1988,
202012,9,세종특별자치시 부강면 부강리,526,0,(526-0),64.82,121.64,"14,000",4,2012,
202012,9,세종특별자치시 부강면 부강리,988,9,안흥4동,49.21,38.75,"4,500",4,1991,
202012,10,세종특별자치시 금남면 용포리,53,2,학산빌라,61.44,51.19,"8,900",4,1995,
202012,10,세종특별자치시 반곡동,4121,1004,더스테이빌딩,44.2708,14.6,"17,000",6,2018,
202012,10,세종특별자치시 부강면 부강리,526,0,(526-0),65.2,122.35,"11,500",4,2012,
202012,10,세종특별자치시 조치원읍 교리,3,0,제일,51.21,54.6,"7,700",2,1988,
202012,11,세종특별자치시 조치원읍 명리,23,3,QueenPalace,51.37,24.42,"12,000",5,2013,
202012,12,세종특별자치시 보람동,743,0,스타힐타워Ⅰ,21.6349,6.44,"9,000",7,2016,
202012,12,세종특별자치시 조치원읍 침산리,148,0,거성주택AB,40.95,38.76,"7,200",2,1989,
202012,13,세종특별자치시 조치원읍 남리,69,17,남동연립B,38.77,13.49,"5,500",3,1993,
202012,14,세종특별자치시 금남면 용포리,53,2,학산빌라,65.4,55.56,"9,000",3,1995,
202012,15,세종특별자치시 보람동,743,0,스타힐타워Ⅰ,21.6349,64.36,"9,999",6,2016,
